    Er (keV)         SM dN/dE         BG dN/dE        BSM dN/dE (events/kg/day/keV)
    2.50100e-01      1.86908e-04      1.00000e+02      1.73579e-06
    2.52651e-01      1.86665e-04      1.00000e+02      1.73578e-06
    2.55227e-01      1.86418e-04      1.00000e+02      1.73577e-06
    2.57830e-01      1.86170e-04      1.00000e+02      1.73575e-06
    2.60459e-01      1.85919e-04      1.00000e+02      1.73574e-06
    2.63115e-01      1.85665e-04      1.00000e+02      1.73573e-06
    2.65799e-01      1.85409e-04      1.00000e+02      1.73571e-06
    2.68509e-01      1.85150e-04      1.00000e+02      1.73570e-06
    2.71248e-01      1.84888e-04      1.00000e+02      1.73569e-06
    2.74014e-01      1.84624e-04      1.00000e+02      1.73567e-06
    2.76808e-01      1.84357e-04      1.00000e+02      1.73566e-06
    2.79631e-01      1.84087e-04      1.00000e+02      1.73564e-06
    2.82483e-01      1.83815e-04      1.00000e+02      1.73563e-06
    2.85364e-01      1.83540e-04      1.00000e+02      1.73562e-06
    2.88274e-01      1.83262e-04      1.00000e+02      1.73560e-06
    2.91214e-01      1.82985e-04      1.00000e+02      1.73559e-06
    2.94184e-01      1.82713e-04      1.00000e+02      1.73558e-06
    2.97185e-01      1.82437e-04      1.00000e+02      1.73558e-06
    3.00215e-01      1.82159e-04      1.00000e+02      1.73557e-06
    3.03277e-01      1.81878e-04      1.00000e+02      1.73557e-06
    3.06370e-01      1.81594e-04      1.00000e+02      1.73556e-06
    3.09495e-01      1.81307e-04      1.00000e+02      1.73555e-06
    3.12651e-01      1.81018e-04      1.00000e+02      1.73555e-06
    3.15840e-01      1.80725e-04      1.00000e+02      1.73554e-06
    3.19061e-01      1.80429e-04      1.00000e+02      1.73554e-06
    3.22315e-01      1.80131e-04      1.00000e+02      1.73553e-06
    3.25602e-01      1.79829e-04      1.00000e+02      1.73552e-06
    3.28923e-01      1.79524e-04      1.00000e+02      1.73552e-06
    3.32278e-01      1.79223e-04      1.00000e+02      1.73551e-06
    3.35667e-01      1.78923e-04      1.00000e+02      1.73550e-06
    3.39090e-01      1.78621e-04      1.00000e+02      1.73550e-06
    3.42549e-01      1.78315e-04      1.00000e+02      1.73549e-06
    3.46042e-01      1.78006e-04      1.00000e+02      1.73548e-06
    3.49572e-01      1.77694e-04      1.00000e+02      1.73547e-06
    3.53137e-01      1.77378e-04      1.00000e+02      1.73547e-06
    3.56739e-01      1.77060e-04      1.00000e+02      1.73546e-06
    3.60377e-01      1.76738e-04      1.00000e+02      1.73545e-06
    3.64053e-01      1.76413e-04      1.00000e+02      1.73544e-06
    3.67766e-01      1.76084e-04      1.00000e+02      1.73544e-06
    3.71517e-01      1.75756e-04      1.00000e+02      1.73543e-06
    3.75306e-01      1.75433e-04      1.00000e+02      1.73542e-06
    3.79134e-01      1.75106e-04      1.00000e+02      1.73541e-06
    3.83001e-01      1.74776e-04      1.00000e+02      1.73540e-06
    3.86907e-01      1.74443e-04      1.00000e+02      1.73539e-06
    3.90853e-01      1.74106e-04      1.00000e+02      1.73539e-06
    3.94840e-01      1.73766e-04      1.00000e+02      1.73538e-06
    3.98867e-01      1.73422e-04      1.00000e+02      1.73537e-06
    4.02935e-01      1.73075e-04      1.00000e+02      1.73536e-06
    4.07045e-01      1.72724e-04      1.00000e+02      1.73535e-06
    4.11196e-01      1.72372e-04      1.00000e+02      1.73534e-06
    4.15391e-01      1.72026e-04      1.00000e+02      1.73533e-06
    4.19627e-01      1.71676e-04      1.00000e+02      1.73532e-06
    4.23907e-01      1.71323e-04      1.00000e+02      1.73531e-06
    4.28231e-01      1.70967e-04      1.00000e+02      1.73530e-06
    4.32599e-01      1.70607e-04      1.00000e+02      1.73529e-06
    4.37011e-01      1.70243e-04      1.00000e+02      1.73528e-06
    4.41469e-01      1.69875e-04      1.00000e+02      1.73527e-06
    4.45971e-01      1.69504e-04      1.00000e+02      1.73526e-06
    4.50520e-01      1.69129e-04      1.00000e+02      1.73525e-06
    4.55115e-01      1.68761e-04      1.00000e+02      1.73524e-06
    4.59758e-01      1.68390e-04      1.00000e+02      1.73523e-06
    4.64447e-01      1.68015e-04      1.00000e+02      1.73522e-06
    4.69184e-01      1.67637e-04      1.00000e+02      1.73521e-06
    4.73970e-01      1.67254e-04      1.00000e+02      1.73520e-06
    4.78804e-01      1.66868e-04      1.00000e+02      1.73519e-06
    4.83688e-01      1.66478e-04      1.00000e+02      1.73518e-06
    4.88622e-01      1.66084e-04      1.00000e+02      1.73517e-06
    4.93606e-01      1.65692e-04      1.00000e+02      1.73516e-06
    4.98640e-01      1.65302e-04      1.00000e+02      1.73514e-06
    5.03726e-01      1.64908e-04      1.00000e+02      1.73513e-06
    5.08865e-01      1.64510e-04      1.00000e+02      1.73512e-06
    5.14055e-01      1.64108e-04      1.00000e+02      1.73511e-06
    5.19298e-01      1.63702e-04      1.00000e+02      1.73510e-06
    5.24595e-01      1.63292e-04      1.00000e+02      1.73509e-06
    5.29946e-01      1.62877e-04      1.00000e+02      1.73507e-06
